Date;Open;High;Low;Close;Volume
2017-03-31;3,475;3,4825;3,135;3,3325;661844
2017-02-28;3,525;3,5625;3,385;3,3875;338194
2017-01-31;3,9;3,9425;3,4825;3,515;351868
2016-12-30;3,47;3,91;3,47;3,825;233890
2016-11-30;3,195;3,5;3;3,475;418212
2016-10-31;3,285;3,585;3,2575;3,2825;342849
2016-09-30;3,0675;3,27;3,0675;3,25;218583
2016-08-31;3,0325;3,3;2,92;3,17;155993
2016-07-29;3,4275;3,465;3;3,03;52405
2016-06-30;3,32;3,52;3,26;3,4575;187637
2016-05-31;3,255;3,3775;2,9575;3,3775;232447
2016-04-29;2,92;3,29;2,64;3,125;733005
2016-03-31;2,735;3;2,6825;2,82;371086
2016-02-29;2,93;2,945;2,44;2,725;657240
2016-01-29;3,34;3,34;2,535;2,955;926227
2015-12-31;3,7775;3,7775;3,0125;3,1675;528371
2015-11-30;3,965;4,1925;3,675;3,8;443770
2015-10-30;4,16;4,29;3,8275;3,98;1050000
2015-09-30;4,3625;4,46;4,0575;4,0825;571824
2015-08-31;4,5;4,6;3,75;4,2475;521761
2015-07-31;5,385;5,385;4,55;4,6025;169149
2015-06-30;5,36;5,4;5,055;5,225;606753
2015-05-29;5,36;5,615;5,24;5,345;603053
2015-04-30;5,025;5,455;4,9325;5,355;96339
2015-03-31;5,19;5,35;4,88;4,9775;151105
2015-02-27;4,83;5,25;4,75;5,165;209441
2015-01-30;4,85;4,9;4,34;4,56;265247
2014-12-31;6,07;6,07;4,9025;4,9025;75430
2014-11-28;6,79;6,985;6,18;6,21;1050000
2014-10-31;7,35;7,395;6,44;6,66;44690
2014-09-30;7,33;7,485;6,82;7,38;5360
2014-08-29;7,16;7,295;7;7,295;28421
2014-07-31;7,655;7,825;7,225;7,25;63601
2014-06-30;7,605;8,075;7,575;7,63;22485
2014-05-30;7,46;7,67;7,375;7,54;6012
2014-04-30;7,235;7,605;7,185;7,455;4182
2014-03-31;7,585;7,6;7,165;7,285;106816
2014-02-28;7,345;7,63;7,31;7,455;147307
2014-01-31;7,09;7,61;6,77;7,405;221682
2013-12-31;6,86;7,305;6,86;7,195;3811
2013-11-29;6,665;6,88;6,56;6,88;6307
2013-10-31;6,915;7,18;6,665;6,73;1559
2013-09-30;7,47;7,515;6,89;6,89;5801
2013-08-30;7,24;7,485;6,845;7,485;14059
2013-07-31;7;7,59;7;7,13;19316
2013-06-28;7,275;7,305;6,99;7,05;7961
2013-05-31;7,275;7,695;7,2;7,28;38136
2013-04-30;7,78;7,81;7,17;7,485;25614
2013-03-29;7,22;7,815;7,15;7,765;48070
2013-02-28;7,105;7,285;7,1;7,23;67345
2013-01-31;7,15;7,405;6,955;7,06;27128
2012-12-31;7,3;7,3;6,905;7,07;19979
2012-11-30;7,32;7,655;7,22;7,29;3668
2012-10-31;7,58;7,7775;7,285;7,34;23315
2012-09-28;7,465;7,735;7,1355;7,5165;71494
2012-08-31;7,605;7,89;7,335;7,6118;55483
2012-07-31;6,78;7,7248;6,78;7,7248;147649
2012-06-29;6,67;6,835;6,42;6,7083;21419
2012-05-31;7,375;7,375;6,96;6,96;31332
